Info 0    [12:45:47.182] Starting TS Server
Info 53   [12:45:49.054] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/LICENSE :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 54   [12:45:49.055] Elapsed:: 0.03345799446105957ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/LICENSE :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 55   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/README.md :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 56   [12:45:49.055] Elapsed:: 0.006666958332061768ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/README.md :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 57   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/experimental.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 58   [12:45:49.055] Elapsed:: 0.03224998712539673ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/experimental.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 59   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/LICENSE :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 60   [12:45:49.055] Elapsed:: 0.005208015441894531ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/LICENSE :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 61   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/README.md :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 62   [12:45:49.055] Elapsed:: 0.016250014305114746ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/README.md :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 63   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/helpers.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 64   [12:45:49.055] Elapsed:: 0.020416975021362305ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/helpers.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 65   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/global.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 66   [12:45:49.055] Elapsed:: 0.017499983310699463ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/global.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 67   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/index.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 68   [12:45:49.055] Elapsed:: 0.01266700029373169ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/index.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 69   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 70   [12:45:49.055] Elapsed:: 0.0065419673919677734ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 71   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/package.json :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 72   [12:45:49.055] Elapsed:: 0.013375043869018555ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/package.json :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 73   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/use-at-your-own-risk.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 74   [12:45:49.055] Elapsed:: 0.008832991123199463ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/use-at-your-own-risk.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 75   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/best-practices.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 76   [12:45:49.055] Elapsed:: 0.009249985218048096ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/best-practices.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 77   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/index.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 78   [12:45:49.055] Elapsed:: 0.008875012397766113ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/index.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 79   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/deprecated.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 80   [12:45:49.055] Elapsed:: 0.007292032241821289ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/deprecated.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 81   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/jsx-dev-runtime.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 82   [12:45:49.055] Elapsed:: 0.007167041301727295ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/jsx-dev-runtime.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 83   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/ecmascript-6.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 84   [12:45:49.055] Elapsed:: 0.007041990756988525ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/ecmascript-6.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 85   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/jsx-runtime.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 86   [12:45:49.055] Elapsed:: 0.007375001907348633ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/jsx-runtime.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 87   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/index.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 88   [12:45:49.055] Elapsed:: 0.006833970546722412ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/index.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 89   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/next.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 90   [12:45:49.055] Elapsed:: 0.006875038146972656ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/next.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 91   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/node-commonjs.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 92   [12:45:49.055] Elapsed:: 0.06495803594589233ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/node-commonjs.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 93   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/package.json :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 94   [12:45:49.055] Elapsed:: 0.009415984153747559ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react/package.json :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 95   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/possible-errors.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 96   [12:45:49.055] Elapsed:: 0.007791996002197266ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/possible-errors.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 97   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/strict-mode.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 98   [12:45:49.055] Elapsed:: 0.006624996662139893ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/strict-mode.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 99   [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/stylistic-issues.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 100  [12:45:49.055] Elapsed:: 0.006584048271179199ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/stylistic-issues.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 101  [12:45:49.055] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint/rules/variables.d.ts :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
